frame,layout_fibers,paint_fibers,paint_replayed,prepaint_fibers,prepaint_replayed,mutated_segments,total_segments,hitboxes,hitboxes_rebuilt,upload_bytes,quads,mono_sprites,poly_sprites,reconcile_us,layout_us,prepaint_us,paint_us,total_us
145,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,121,0,3,9,137
146,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,125,0,3,8,139
147,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,116,0,3,9,132
148,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,149,0,5,11,169
149,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,130,0,5,10,149
150,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,131,839,5,19,1053
151,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,122,376,4,11,565
152,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,135,363,5,12,568
153,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,127,0,5,9,144
154,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,160,474,6,12,719
155,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,163,395,5,11,647
156,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,151,357,4,10,587
157,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,174,0,6,13,198
158,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,166,0,5,12,187
159,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,185,0,7,13,209
160,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,163,0,6,12,186
161,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,153,0,6,12,175
162,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,174,0,6,13,197
163,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,173,869,7,15,1123
164,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,177,497,6,14,749
165,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,169,500,6,12,739
166,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,172,0,7,12,195
167,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,158,656,6,13,892
168,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,150,459,6,12,677
169,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,162,421,7,15,655
170,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,149,453,5,11,669
171,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,161,0,6,12,182
172,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,140,0,5,10,159
173,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,150,0,7,11,172
174,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,127,0,3,9,143
175,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,136,0,7,13,159
176,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,140,0,6,11,161
177,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,156,0,6,11,176
178,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,137,0,3,8,153
179,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,149,830,6,13,1052
180,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,141,441,5,12,653
181,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,155,415,6,12,637
182,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,136,346,5,10,546
183,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,215,0,5,12,236
184,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,146,0,5,11,166
185,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,158,0,6,18,186
186,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,152,0,6,11,173
187,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,177,827,8,16,1082
188,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,157,530,7,14,760
189,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,151,414,5,11,631
190,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,145,431,5,11,640
191,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,129,0,3,9,145
192,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,118,0,3,8,133
193,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,146,0,3,8,161
194,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,146,0,6,12,167
195,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,157,718,6,12,945
196,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,125,372,4,10,562
197,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,156,445,5,12,670
198,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,143,0,4,10,161
199,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,159,521,6,12,751
200,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,147,359,5,11,583
